0
Rear view of a CFM56-5
Turbofan
France / United States
CFM International
20 June 1974[1]
Airbus A320 familyAirbus A340Boeing 737 ClassicBoeing 737 Next GenerationBoeing KC-135R StratotankerDouglas DC-8-70
"32,645 (June 2018)[2]"
General Electric F101
CFM International LEAPGeneral Electric Affinity
